car,body,engV,engType,registration,year,model,drive
Porsche,sedan,4.8,Petrol,yes,2014,Panamera,full
Mercedes-Benz,van,2.2,Diesel,yes,2007,Vito ����.,rear
Audi,crossover,3,Diesel,yes,2015,Q7,full
Audi,crossover,3,Diesel,yes,2015,Q7,full
Toyota,crossover,4.5,Diesel,yes,2014,Land Cruiser 200,full
Mercedes-Benz,van,2.2,Diesel,yes,2009,Vito ����.,rear
Volkswagen,crossover,3,Diesel,yes,2007,Touareg,full
Volkswagen,van,2,Diesel,yes,2013,T5 (Transporter) ����,front
Mercedes-Benz,sedan,1.8,Gas,yes,2011,E-Class,rear
Volkswagen,crossover,2.5,Diesel,yes,2008,Touareg,full
BMW,sedan,3,Petrol,yes,2007,530,rear
Hyundai,sedan,1.4,Petrol,yes,2013,Accent,front
Mercedes-Benz,van,2.2,Diesel,yes,2000,Vito ����.,front
Volkswagen,van,1.9,Diesel,yes,2005,T5 (Transporter) ����.,
Volkswagen,crossover,3,Diesel,yes,2012,Touareg,full
Porsche,crossover,3,Diesel,yes,2016,Cayenne,full
BMW,vagon,3,Diesel,no,2001,530,rear
Volkswagen,crossover,NA,Petrol,yes,2013,Touareg,full
Hyundai,sedan,1.4,Petrol,yes,2013,Accent,front
Nissan,hatch,NA,Other,yes,2011,Leaf,
Mercedes-Benz,sedan,1.8,Gas,yes,2004,E-Class,rear
Renault,vagon,1.5,Diesel,yes,2011,Megane,front
Hyundai,crossover,1.6,Petrol,yes,2009,Accent,front
Mercedes-Benz,sedan,1.8,Gas,yes,2011,E-Class,rear
Audi,crossover,3.6,Petrol,yes,2008,Q7,full
Toyota,crossover,4.5,Diesel,yes,2016,Land Cruiser 200,full
Toyota,crossover,2.7,Petrol,yes,2011,Land Cruiser Prado,full
Toyota,crossover,2.7,Gas,yes,2011,Land Cruiser Prado,full
Toyota,crossover,4,Petrol,yes,2007,Land Cruiser Prado,full
Mercedes-Benz,sedan,1.8,Petrol,yes,2012,E-Class,
Opel,vagon,2,Diesel,no,2005,Vectra C,front
Volkswagen,van,2,Diesel,yes,2011,T5 (Transporter) ����,front
Toyota,crossover,4.5,Petrol,yes,2016,Land Cruiser 200,full
Mercedes-Benz,crossover,2.98,Diesel,yes,2016,GLS 350,full
BMW,crossover,3,Diesel,yes,2014,X6,full
BMW,crossover,3,Diesel,yes,2015,X6,full
Toyota,crossover,4.5,Diesel,yes,2016,Land Cruiser 200,full
Audi,crossover,2,Diesel,yes,2013,Q5,full
BMW,sedan,1.9,Petrol,no,2000,318,rear
Volkswagen,sedan,1.9,Diesel,no,2003,Passat B5,front
Volkswagen,crossover,2.5,Diesel,yes,2007,Touareg,full
Toyota,crossover,4.5,Diesel,yes,2016,Land Cruiser 200,full
Chevrolet,sedan,1.6,Petrol,yes,2007,Lacetti,front
Toyota,crossover,4,Petrol,yes,2007,Land Cruiser Prado,full
Skoda,sedan,1.8,Petrol,yes,2013,Superb,front
Toyota,crossover,3,Diesel,yes,2013,Land Cruiser Prado,full
Land Rover,crossover,3.5,Diesel,yes,2008,Range Rover Sport,full
Mercedes-Benz,crossover,NA,Other,yes,2016,GLS 350,
Volkswagen,sedan,2,Diesel,yes,2013,Passat B7,front
Mitsubishi,sedan,2,Petrol,yes,2008,Lancer X,front
Land Rover,crossover,5,Petrol,yes,2012,Range Rover Sport,full
Mercedes-Benz,crossover,3,Diesel,yes,2016,GLS 350,full
Mitsubishi,sedan,1.5,Petrol,yes,2009,Lancer X,front
Land Rover,vagon,2.2,Diesel,yes,2013,Range Rover Evoque,full
Mercedes-Benz,crossover,2.98,Diesel,yes,2016,GLS 350,full
Opel,sedan,2.2,Diesel,yes,2003,Vectra C,front
Mercedes-Benz,other,3,Diesel,yes,2014,E-Class,rear
Volkswagen,other,2,Diesel,yes,2011,T5 (Transporter) ����,front
Chevrolet,sedan,1.6,Gas,yes,2012,Lacetti,front
BMW,crossover,4.4,Gas,no,2002,X5,full
Daewoo,sedan,NA,Petrol,yes,2007,Lanos,front
BMW,other,4.8,Petrol,yes,2008,X5,full
Land Rover,crossover,3.5,Diesel,yes,2012,Range Rover Sport,full
Nissan,crossover,2,Petrol,yes,2011,Qashqai,full
Nissan,crossover,1.6,Petrol,yes,2014,Qashqai,
Volkswagen,van,2,Diesel,yes,2013,T5 (Transporter) ����,front
Daewoo,sedan,1.5,Petrol,yes,2007,Lanos,front
Mitsubishi,crossover,3.8,Gas,yes,2008,Pajero Wagon,full
Land Rover,crossover,3,Petrol,yes,2014,Range Rover Sport,full
Mercedes-Benz,crossover,2.2,Diesel,yes,2016,GLE-Class,full
Mercedes-Benz,crossover,3,Diesel,yes,2016,GLS 350,full
Mitsubishi,crossover,3,Gas,yes,2009,Pajero Wagon,full
Volkswagen,other,2,Diesel,yes,2013,Passat B7,front
Mercedes-Benz,van,2.2,Diesel,yes,2012,Vito ����.,
BMW,crossover,2,Diesel,yes,2016,X5,full
BMW,crossover,2.5,Diesel,yes,2016,X5,full
Land Rover,crossover,3.6,Diesel,yes,2008,Range Rover Sport,full
Land Rover,crossover,5,Petrol,yes,2012,Range Rover Sport,full
Toyota,sedan,3.5,Petrol,yes,2008,Camry,front
Land Rover,crossover,3,Diesel,yes,2013,Range Rover Sport,full
Daewoo,sedan,1.6,Petrol,yes,2008,Lanos,front
Land Rover,crossover,3,Diesel,yes,2015,Range Rover Sport,full
Skoda,hatch,1.8,Petrol,yes,2012,Octavia A5,front
BMW,other,3,Diesel,yes,2011,X5,full
Land Rover,other,3.6,Diesel,yes,2008,Range Rover,full
Mazda,sedan,2,Petrol,yes,2007,3,front
Mercedes-Benz,van,3,Diesel,yes,2012,Vito ����.,rear
Toyota,sedan,2.5,Petrol,yes,2013,Camry,front
Land Rover,crossover,2.99,Diesel,yes,2014,Range Rover Sport,full
Mazda,sedan,2,Petrol,yes,2007,6,front
BMW,crossover,3,Diesel,yes,2013,X5,full
Lexus,crossover,5.7,Gas,yes,2013,LX 570,full
Mercedes-Benz,sedan,3,Diesel,yes,1998,E-Class,front
Toyota,crossover,4.5,Diesel,yes,2016,Land Cruiser 200,full
Audi,vagon,99.99,Diesel,no,2004,A6,front
Mitsubishi,crossover,3,Gas,yes,2008,Pajero Wagon,full
Mercedes-Benz,crossover,2.99,Diesel,yes,2016,GLS 350,full
Mercedes-Benz,crossover,3,Diesel,yes,2016,GLE-Class,full
Mercedes-Benz,crossover,3,Petrol,yes,2015,GLE-Class,full
Toyota,crossover,4,Petrol,yes,2006,Land Cruiser Prado,full
BMW,crossover,4.8,Gas,yes,2007,X5,full
Toyota,sedan,2.4,Gas,yes,2007,Camry,front
Mercedes-Benz,sedan,1.8,Gas,yes,2011,E-Class,rear
BMW,sedan,4.4,Petrol,yes,2000,740,rear
Mercedes-Benz,van,2.2,Diesel,yes,2011,Vito ����.,rear
BMW,crossover,3,Diesel,yes,2009,X5,full
Mercedes-Benz,van,2.2,Diesel,yes,2013,Vito ����.,rear
Skoda,sedan,1.8,Petrol,yes,2012,Octavia A5,front
Ford,crossover,2.5,Gas,yes,2010,Kuga,full
Lexus,crossover,5.7,Petrol,yes,2014,LX 570,full
Land Rover,other,3.6,Diesel,yes,2008,Range Rover Sport,full
Lexus,sedan,3,Petrol,yes,2006,GS 300,full
Toyota,sedan,2.4,Petrol,yes,2008,Camry,front
Lexus,crossover,5.7,Petrol,yes,2016,LX 570,full
Lexus,crossover,5.7,Petrol,yes,2008,LX 570,full
Daewoo,sedan,1.5,Petrol,yes,2003,Lanos,front
Mercedes-Benz,other,3,Diesel,yes,2015,S 350,full
Audi,sedan,3.2,Petrol,yes,2009,A5,full
Mercedes-Benz,other,2.4,Petrol,yes,2003,E-Class,rear
Audi,sedan,2.4,Gas,yes,1998,A6,front
Ford,crossover,2.5,Diesel,yes,2010,Kuga,front
Mercedes-Benz,sedan,1.6,Petrol,yes,2015,C-Class,rear
Hyundai,crossover,NA,Other,yes,2007,Tucson,full
Skoda,sedan,1.8,Petrol,yes,2014,Octavia A7,front
Mercedes-Benz,sedan,3,Diesel,yes,2015,S 350,full
Mercedes-Benz,sedan,3,Diesel,yes,2013,S 350,rear
Porsche,sedan,4.8,Petrol,yes,2011,Panamera,
Porsche,crossover,3,Diesel,yes,2016,Cayenne,full
Toyota,sedan,2.4,Petrol,yes,2005,Camry,front
Nissan,crossover,2,Petrol,yes,2008,Qashqai,
Infiniti,crossover,3.7,Gas,yes,2012,FX 37,full
Lexus,sedan,3,Petrol,yes,2008,GS 300,rear
Toyota,sedan,2.4,Other,yes,2008,Camry,front
Lexus,crossover,4.7,Gas,yes,2005,GX,full
Porsche,crossover,4.8,Petrol,yes,2014,Cayenne,full
Mercedes-Benz,other,2.4,Gas,yes,1998,E-Class,rear
BMW,crossover,3,Diesel,yes,2014,X5,full
BMW,crossover,3,Diesel,yes,2016,X5,full
Mercedes-Benz,other,1.8,Petrol,yes,2012,E-Class,rear
Nissan,crossover,2,Petrol,yes,2013,X-Trail,full
Mercedes-Benz,other,5.5,Petrol,yes,2009,CL 55 AMG,rear
Nissan,hatch,NA,Other,yes,2014,Leaf,front
Audi,sedan,1.8,Other,yes,2015,A5,front
Lexus,crossover,5.7,Gas,yes,2009,LX 570,full
Mercedes-Benz,sedan,2.2,Diesel,yes,2012,C-Class,
Toyota,hatch,1,Petrol,yes,2009,IQ,front
Nissan,crossover,1.6,Diesel,yes,2016,Qashqai,full
Skoda,sedan,1.8,Petrol,yes,2008,Superb,front
Mitsubishi,crossover,3,Gas,yes,2008,Pajero Wagon,full
Nissan,sedan,NA,Other,yes,2014,Leaf,front
Tesla,sedan,NA,Other,yes,2016,Model S,full
Mercedes-Benz,vagon,2.2,Diesel,yes,2006,Vito ����.,rear
Audi,vagon,1.8,Gas,no,1996,A4,front
Land Rover,crossover,5,Petrol,yes,2010,Range Rover Sport,full
Audi,crossover,3,Diesel,yes,2013,A6,full
Land Rover,crossover,3,Diesel,yes,2013,Range Rover Sport,full
Skoda,hatch,1.4,Petrol,yes,2014,Octavia A7,front
Nissan,hatch,NA,Other,yes,2013,Leaf,front
Skoda,sedan,1.8,Petrol,yes,2012,Octavia A5,front
Porsche,crossover,4.8,Petrol,yes,2007,Cayenne,full
BMW,sedan,2,Diesel,yes,2011,520,rear
Subaru,vagon,2,Petrol,yes,2008,Forester,full
Kia,hatch,1.6,Diesel,yes,2013,Ceed,front
Toyota,sedan,2.5,Petrol,yes,2016,Camry,front
Audi,sedan,19,Other,no,1996,A4,
Mercedes-Benz,sedan,1.8,Gas,yes,2011,E-Class,rear
Subaru,crossover,99.99,Petrol,yes,2010,Forester,full
Volkswagen,sedan,1.6,Petrol,yes,2011,Polo,front
Mercedes-Benz,crossover,3,Diesel,yes,2016,GLS 350,full
Nissan,hatch,NA,Other,yes,2013,Leaf,front
Audi,sedan,2.8,Petrol,yes,2012,A6,front
Renault,other,1.5,Diesel,yes,2012,Megane,
Volkswagen,van,1.9,Diesel,yes,2006,T5 (Transporter) ����,front
VAZ,other,2,Gas,yes,2002,2121,full
Honda,sedan,1.8,Petrol,yes,2011,Civic,front
Porsche,sedan,3.6,Petrol,yes,2014,Panamera,full
Land Rover,crossover,5,Petrol,yes,2015,Range Rover Sport,full
Honda,sedan,2.4,Petrol,yes,2009,Accord,front
Volkswagen,vagon,2,Diesel,yes,2008,Passat B6,front
Chevrolet,sedan,1.5,Gas,yes,2008,Aveo,front
Renault,vagon,1.5,Diesel,yes,2011,Megane,front
Toyota,sedan,2.5,Gas,yes,2015,Camry,front
Kia,hatch,1.6,Petrol,yes,2012,Ceed,front
Audi,sedan,NA,Diesel,no,2001,A6,front
Audi,vagon,2.5,Diesel,no,2001,A6,full
Audi,vagon,NA,Diesel,no,2001,A6,front
Audi,sedan,NA,Petrol,no,2000,A4,front
BMW,crossover,2,Diesel,yes,2016,X5,full
Mitsubishi,sedan,1.6,Petrol,yes,2006,Lancer,front
Nissan,crossover,3.5,Gas,yes,2009,Murano,full
Ford,sedan,1.6,Petrol,yes,2013,Focus,front
Porsche,hatch,4.8,Petrol,yes,2014,Panamera,full
Kia,other,2.4,Gas,yes,2006,Sorento,full
Porsche,sedan,3,Diesel,yes,2013,Panamera,rear
Opel,sedan,1.4,Petrol,yes,2007,Astra G,front
Kia,crossover,2.2,Diesel,yes,2016,Sorento,full
Volkswagen,sedan,1.8,Petrol,yes,2010,Passat B6,front
Chevrolet,sedan,1.5,Petrol,yes,2011,Aveo,front
Mercedes-Benz,crossover,3,Diesel,yes,2016,GLS 350,full
Audi,vagon,2.5,Diesel,no,2003,A6,front
Porsche,crossover,3,Diesel,yes,2015,Macan,full
Alfa Romeo,hatch,1.6,Petrol,yes,2002,147,front
Toyota,crossover,4.6,Petrol,yes,2015,Land Cruiser 200,full
Mercedes-Benz,crossover,4.6,Petrol,yes,2013,ML 500,full
Mitsubishi,sedan,2,Gas,yes,2008,Lancer X,front
Subaru,vagon,2,Petrol,yes,2005,Forester,full
Chevrolet,sedan,1.5,Petrol,yes,2006,Aveo,front
Chevrolet,sedan,1.6,Gas,yes,2012,Aveo,front
Honda,hatch,1.8,Petrol,yes,2013,Civic,front
Kia,crossover,2.5,Diesel,yes,2008,Sorento,full
Smart,other,1,Petrol,yes,2011,Fortwo,rear
Renault,crossover,1.5,Diesel,yes,2013,Duster,front
Lexus,crossover,4.5,Diesel,yes,2016,LX 450,full
Hyundai,crossover,2.2,Diesel,yes,2008,Santa FE,full
VAZ,hatch,1.6,Petrol,yes,2013,2114,front
Porsche,sedan,4.8,Petrol,yes,2011,Panamera,full
BMW,sedan,2,Petrol,yes,2013,520,rear
Volkswagen,sedan,3.2,Petrol,yes,2007,Passat B6,full
Nissan,hatch,0.11,Other,yes,2014,Leaf,front
Renault,vagon,1.5,Diesel,yes,2009,Megane,front
Mitsubishi,sedan,NA,Other,yes,2005,Lancer,front
Honda,sedan,2,Gas,yes,2008,Accord,front
Toyota,crossover,4.5,Diesel,yes,2012,Land Cruiser 200,full
Ford,sedan,1.6,Gas,yes,2011,Focus,front
Volkswagen,van,1.9,Diesel,yes,2005,Caddy ����.,front
Mercedes-Benz,other,3,Diesel,yes,2007,S 320,rear
Tesla,sedan,NA,Other,yes,2013,Model S,front
Ford,hatch,1.6,Gas,yes,2013,Fiesta,front
Subaru,crossover,2,Petrol,yes,2011,Forester,full
Tesla,hatch,NA,Other,yes,2013,Model S,front
Land Rover,crossover,5,Petrol,yes,2014,Range Rover,full
Peugeot,van,1.6,Diesel,yes,2009,Partner ����.,front
Hyundai,crossover,2.2,Diesel,yes,2014,Santa FE,full
Suzuki,crossover,2,Petrol,yes,2008,Grand Vitara,full
Kia,crossover,2,Petrol,yes,2011,Sportage,full
BMW,crossover,4.4,Petrol,yes,2015,X6 M,full
Renault,vagon,1.5,Diesel,yes,2008,Megane,front
Lexus,sedan,3,Petrol,yes,2007,GS 300,rear
Renault,vagon,2.5,Other,yes,2006,Trafic ����.,front
Audi,other,3,Diesel,yes,2010,Q7,full
Volkswagen,van,1.6,Diesel,yes,2012,Caddy ����.,front
BMW,sedan,1.9,Gas,yes,2000,316,rear
Toyota,crossover,4,Petrol,yes,2009,Land Cruiser Prado,full
Land Rover,crossover,5,Petrol,yes,2014,Range Rover,full
Toyota,crossover,NA,Other,yes,2009,Land Cruiser 200,
Subaru,crossover,2,Petrol,yes,2005,Forester,full
BMW,sedan,1.6,Petrol,no,2000,316,rear
Nissan,hatch,NA,Other,yes,2015,Leaf,front
Nissan,hatch,NA,Other,yes,2015,Leaf,front
Nissan,hatch,1,Other,yes,2013,Leaf,front
Mercedes-Benz,sedan,3.2,Petrol,yes,2000,S 320,rear
Tesla,sedan,NA,Other,yes,2016,Model S,full
Renault,crossover,1.5,Diesel,yes,2016,Duster,full
Mercedes-Benz,sedan,2.4,Gas,yes,1997,E-Class,rear
Mazda,sedan,2,Petrol,yes,2009,6,front
Peugeot,vagon,2,Petrol,yes,2008,307,front
Audi,sedan,2.5,Diesel,no,1999,A8,front
Audi,sedan,4.2,Diesel,yes,2011,A8,full
Toyota,crossover,3.5,Petrol,yes,2012,Highlander,full
Daewoo,hatch,0.8,Petrol,yes,2008,Matiz,front
Skoda,sedan,1.8,Gas,yes,2006,Octavia Tour,front
Audi,sedan,1.6,Other,yes,1987,80,front
Volkswagen,van,1.9,Diesel,yes,2005,Caddy ����.,front
Renault,vagon,1.5,Diesel,yes,2012,Megane,front
Volkswagen,van,2,Diesel,yes,2004,Caddy ����.,front
Hyundai,sedan,1.4,Petrol,yes,2011,Accent,front
Ford,hatch,1.4,Petrol,yes,2008,Fiesta,front
Mercedes-Benz,sedan,2.2,Other,yes,2005,E-Class,rear
Toyota,crossover,2,Petrol,yes,2008,Rav 4,full
Nissan,hatch,1.2,Petrol,yes,2010,Micra,front
Renault,van,2,Diesel,yes,2012,Trafic ����.,front
Nissan,crossover,1.6,Petrol,yes,2013,Juke,front
Toyota,crossover,5.7,Gas,yes,2009,Sequoia,full
BMW,sedan,NA,Diesel,yes,1997,525,rear
Smart,other,1,Petrol,yes,2007,Fortwo,rear
Suzuki,crossover,2,Petrol,yes,2006,Grand Vitara,full
Volkswagen,sedan,2.8,Gas,yes,2004,Passat B5,full
Honda,sedan,1.8,Petrol,yes,2012,Civic,front
Honda,sedan,1.8,Petrol,yes,2012,Civic,front
Suzuki,crossover,2,Petrol,yes,2002,Grand Vitara,full
BMW,crossover,5,Petrol,yes,2011,X5 M,full
Audi,sedan,NA,Gas,no,1994,80,front
Kia,crossover,2.2,Diesel,yes,2012,Sorento,full
Opel,sedan,2.3,Diesel,yes,1987,Omega,rear
Mercedes-Benz,crossover,5,Gas,yes,2004,G 500,full
Ford,crossover,2.5,Petrol,yes,2010,Kuga,full
Hyundai,sedan,1.4,Petrol,yes,2011,Accent,front
Subaru,crossover,2,Diesel,yes,2016,Forester,full
Renault,van,2,Diesel,yes,2009,Trafic ����.,front
Toyota,crossover,2,Petrol,yes,2013,Rav 4,full
Volkswagen,van,2.5,Diesel,yes,2000,T4 (Transporter) ����.,front
Mercedes-Benz,crossover,3,Diesel,yes,2016,GLS 350,full
Audi,sedan,4.2,Diesel,yes,2008,A8,full
Lexus,crossover,4.7,Gas,yes,2005,LX 470,full
Volkswagen,vagon,2,Diesel,no,2008,Passat B6,full
Daewoo,hatch,0.8,Petrol,yes,2011,Matiz,front
Tesla,sedan,NA,Other,yes,2013,Model S,front
BMW,crossover,3,Petrol,yes,2015,X5,full
Lexus,crossover,5.7,Petrol,yes,2011,LX 570,full
Renault,van,1.5,Diesel,yes,2013,Kangoo ����.,front
Tesla,sedan,NA,Other,yes,2013,Model S,rear
Nissan,crossover,1.6,Petrol,yes,2012,Qashqai,front
Toyota,sedan,3.5,Gas,yes,2007,Camry,front
Smart,other,1,Petrol,yes,2014,Fortwo,
Mercedes-Benz,sedan,6.2,Petrol,yes,2011,S 500,
Lexus,sedan,3,Petrol,yes,1996,GS 300,rear
Toyota,other,4,Gas,yes,2007,Land Cruiser Prado,full
Mazda,other,2,Gas,yes,1989,626,front
Hyundai,hatch,1.4,Gas,yes,2008,Getz,front
Toyota,crossover,2.5,Petrol,yes,2013,Rav 4,full
Volkswagen,sedan,1.6,Other,yes,2016,Jetta,front
BMW,sedan,2.5,Diesel,no,1992,525,rear
Renault,vagon,1.5,Diesel,no,2010,Megane,front
Nissan,hatch,0.11,Other,yes,2013,Leaf,front
BMW,crossover,3,Diesel,yes,2008,X5,full
Volkswagen,van,2,Diesel,yes,2007,Touran,front
Honda,sedan,2.4,Petrol,yes,2011,Accord,front
Land Rover,crossover,5,Petrol,yes,2014,Range Rover,full
Mitsubishi,crossover,3,Gas,yes,2008,Pajero Wagon,full
BMW,other,2.8,Gas,yes,1998,328,rear
Mercedes-Benz,van,1.8,Diesel,yes,2012,B 180,front
Mercedes-Benz,sedan,1.8,Gas,yes,2011,E-Class,rear
Mitsubishi,sedan,1.6,Other,yes,2007,Lancer,front
Volkswagen,van,1.6,Diesel,yes,2011,Caddy ����.,front
BMW,other,2.5,Petrol,yes,1997,323,rear
Ford,hatch,1.4,Petrol,yes,2007,Fiesta,front
Audi,sedan,2.5,Diesel,no,2001,A8,full
Chevrolet,sedan,1.6,Petrol,yes,2008,Lacetti,front
Mazda,sedan,2,Other,yes,2016,6,front
Ford,hatch,1.4,Petrol,yes,2007,Fiesta,front
Land Rover,crossover,4.4,Diesel,yes,2012,Range Rover,full
Ford,hatch,1.4,Petrol,yes,2007,Fiesta,front
Subaru,sedan,2,Petrol,yes,2007,Legacy,full
BMW,sedan,2,Petrol,yes,2012,528,rear
Toyota,crossover,2.7,Gas,yes,2005,Land Cruiser Prado,full
Nissan,crossover,1.6,Petrol,yes,2016,Juke,front
Opel,sedan,2.5,Gas,yes,1998,Omega,rear
Tesla,sedan,NA,Other,yes,2016,Model S,rear
Peugeot,sedan,2,Petrol,yes,2006,407,front
Nissan,sedan,1.8,Petrol,yes,2003,Primera,front
Lexus,sedan,2.5,Other,yes,2007,IS 250,rear
Nissan,crossover,2,Petrol,yes,2013,Qashqai,
Land Rover,crossover,4.4,Diesel,yes,2013,Range Rover,full
Mercedes-Benz,sedan,3.2,Gas,yes,2001,E-Class,rear
Land Rover,crossover,4.4,Diesel,yes,2012,Range Rover,full
Porsche,other,3.8,Petrol,yes,2010,911,rear
Mercedes-Benz,van,2.2,Diesel,yes,2014,V 250,full
Opel,sedan,2,Petrol,yes,1997,Omega,rear
Mazda,hatch,2,Petrol,yes,2003,6,front
Mercedes-Benz,sedan,5,Petrol,yes,2001,S 500,rear
Volkswagen,vagon,1.9,Diesel,yes,2008,Touran,front
Subaru,crossover,2,Petrol,yes,2010,Forester,full
Toyota,crossover,4.5,Diesel,yes,2009,Land Cruiser 200,full
Mercedes-Benz,crossover,5.5,Petrol,yes,2008,G 500,full
Toyota,sedan,3.5,Petrol,yes,2013,Camry,front
Honda,sedan,3.5,Petrol,yes,2008,Accord,front
BMW,sedan,2,Petrol,yes,2016,520,rear
Subaru,other,2,Diesel,yes,2009,Legacy,full
Hyundai,crossover,2,Diesel,yes,2013,IX35,full
